bot_id,top_id,bot_type,top_type,x,y,z_bot,z_top,dx,dy,dz,dist_xy,type_pair,label,sector6,ang_deg,ang_margin,dz_thresh,confidence,is_boundary,label_raw,frac1,frac2,block_id
4561,7326,2,3,31.9460091374128,6.99762831384275,17.4839653545088,20.7624296654285,0.4857251699712961,-0.20738319999792942,3.2784643109196985,0.5281446131364266,2->3,AB,0,336.8796576593974,6.8796576593974805,3.336072339193011,0.08377698569469132,1,AB,0.2108670868763818,0.06105659636217179,0
4562,7327,2,3,34.1320355186776,8.23759473359246,17.4858313975058,20.7571295666634,0.4517015763412999,-0.18250992746157912,3.2712981691575997,0.4871798309569538,2->3,AB,0,337.99883930236854,7.998839302368538,3.336072339193011,0.08985067008774988,1,AB,0.22197592185852796,0.07187570903832509,0
4563,7328,2,3,36.3168567694084,9.47931956722663,17.4872425680865,20.7525145396518,0.4200707051195991,-0.16114467535292043,3.265271971565298,0.44991888568304766,2->3,BA,0,339.0125261622489,9.012526162248832,3.336072339193011,0.09349444543378145,1,AB,0.23306797907835902,0.08271016445089792,0
4564,7329,2,3,38.5005808602837,10.7225029653283,17.4885141438858,20.7486993761145,0.39061941730540184,-0.1426954680420991,3.2601852322287,0.4158671972826967,2->3,BA,0,339.9324672978804,9.932467297880407,3.336072339193011,0.0952394453308705,1,AB,0.24414538254277887,0.09355734631562942,0
4565,7330,2,3,40.683315906005,11.9668797293103,17.4898935629466,20.7457614760792,0.3631334980406038,-0.1266387840049994,3.2558679131325974,0.38458200557679517,2->3,BA,0,340.7743483826327,10.774348382632752,3.336072339193011,0.09553995274516092,1,AB,0.25521010617706746,0.10441494068808495,0
4566,7331,2,3,42.8651680132674,13.2122185919305,17.4915619051819,20.7437419887831,0.33740296678129766,-0.11251509330579879,3.2521800836012,0.35566895874455234,2->3,BA,0,341.5578014499714,11.557801449971407,3.336072339193011,0.09478208130924959,1,AB,0.26626396070225217,0.11528092968591618,0
4567,7332,2,3,45.0462355266873,14.4583164959012,17.4936429794612,20.7426506871625,0.31323059583549906,-0.09992232995499961,3.249007707701299,0.32878241770371114,2->3,BA,0,342.3070232841487,12.307023284148727,3.336072339193011,0.09329678002324586,1,AB,0.2773085751157977,0.1261535415678563,0
4568,7333,2,3,47.2266127113281,15.7049973044164,17.4962102990127,20.7424636730315,0.2904284103127992,-0.0885091557081008,3.246253374018803,0.3036157640192295,2->3,BA,0,343.0512017471671,13.05120174716717,3.336072339193011,0.09136500198557906,1,AB,0.2883454301436134,0.1370312394826486,0
4569,7334,2,3,49.4063867143982,16.9521067032425,17.4992843103147,20.7431229464638,0.2688225359327987,-0.07796685359199884,3.2438386361491,0.27990067181837386,2->3,BA,0,343.8262056297981,13.826205629798096,3.336072339193011,0.08923022756806903,1,AB,0.29937585752202733,0.1479126769881198,0
4570,7335,2,3,51.5856378128374,18.1995078358776,17.502836650752,20.7445349439743,0.2482515145832025,-0.06802087805059998,3.241698293222303,0.25740173725837323,2->3,BA,0,344.67703771943775,14.677037719437749,3.336072339193011,0.0871073761637508,1,AB,0.31040106091096925,0.15879665996651735,0
4571,7336,2,3,53.7644427387352,19.4470763379521,17.5067949589744,20.7465746348372,0.22856329382400276,-0.05842188333030052,3.239779675862799,0.23591162696131926,2->3,BA,0,345.66191412571885,15.661914125718795,3.336072339193011,0.08519208203424848,1,AB,0.3214221626852511,0.16968210329802977,0
4572,7337,2,3,55.9428735752769,20.6947004889879,17.5110449677914,20.7490862956871,0.2096155913084985,-0.04894232467189852,3.2380413278957008,0.21525344890129172,2->3,BA,0,346.8576776104697,16.857677610469636,3.336072339193011,0.08366675221439249,1,AB,0.3324401949298694,0.18056803218493547,0
4573,7338,2,3,58.1209980383602,21.9422728267571,17.5154343075297,20.7518859488986,0.19127296679899786,-0.039364819341901836,3.2364516413689017,0.19528168585382272,2->3,BA,0,348.37065048407317,18.370650484073167,3.336072339193011,0.08271629972423339,1,AB,0.3434561381517325,0.19145350898413904,0
4574,7339,2,3,60.2988856636259,23.1896893193016,17.5197763441183,20.7547681582041,0.17340201374869935,-0.029477958282100758,3.2349918140858023,0.17588976205733348,2->3,BA,0,350.3520780196897,20.35207801968977,3.336072339193011,0.08253808118400931,1,AB,0.35447097164326014,0.2023376259827712,0
4575,7340,2,3,62.4766041625581,24.4368453923708,17.5238634558628,20.7575160326115,0.15587023509160502,-0.019069804072398,3.2336525767486997,0.15703244128164048,2->3,BA,0,353.0248628966206,23.02486289662056,3.336072339193011,0.08336648360767134,1,AB,0.3654856632787363,0.21321947073628328,0
4576,7341,2,3,64.6542257414009,25.6836329359493,17.5274793877886,20.7599185687851,0.13853940987110036,-0.00792141771530197,3.2324391809965007,0.13876569081027573,2->3,BA,0,356.7275004232047,26.727500423204674,3.336072339193011,0.0855156291511833,1,AB,0.37650123032179944,0.22409809994942198,0
4577,7342,2,3,66.8318254649826,26.9299367006826,17.5304125152596,20.7617806699837,0.12126518040429346,0.004200014980298761,3.2313681547241018,0.12133789228563588,2->3,BA,0,1.9836442501052178,28.016355749894785,3.336072339193011,0.0783814220038834,1,AB,0.38751874278309983,0.2349725080338646,0
4578,7343,2,3,69.0094858318057,28.1756330004164,17.5324707125161,20.7629401925588,0.10389019203779526,0.017544027198798773,3.2304694800427,0.10536111660381248,2->3,BA,0,9.585156422755952,20.414843577244056,3.336072339193011,0.04959426625707344,1,AB,0.3985393636516876,0.2458416157874501,0
4579,7344,2,3,71.1872965984178,29.4205863227341,17.533494152483,20.7632875961786,0.08624284765919299,0.03238400141320241,3.2297934436955984,0.09212248541966866,2->3,AB,0,20.581047652208103,9.418952347791901,3.336072339193011,0.02000660023640136,1,AB,0.4095643623549819,0.25670424082000975,0
4580,7345,2,3,73.365356677886,30.6646471122167,17.5333748735669,20.7627780629128,0.06813464421929893,0.049019613100700354,3.229403189345902,0.0839360006876239,2->3,AB,1,35.73320738282637,5.733207382826379,3.336072339193011,0.011095604602156204,1,AB,0.4205951387752091,0.2675590782115847,0
4581,7346,2,3,75.5437741035763,31.9076530074494,17.5320660872257,20.7614462090339,0.049358895122097124,0.06777700321499935,3.229380121808198,0.08384523058874736,2->3,AB,1,53.935859201467096,23.93585920146711,3.336072339193011,0.046273508896914096,1,AB,0.4316332175790623,0.27840471130571315,0
4582,7347,2,3,77.7226644473064,33.1494295799767,17.5295908784458,20.7594092917267,0.029694728776107127,0.0890072825733057,3.2298184132809027,0.09383002327704526,2->3,AB,1,71.55020111192668,18.449798888073303,3.336072339193011,0.039915218286419675,1,AB,0.4426802330408913,0.28923961815705523,0
4583,7348,2,3,79.9021497780986,34.3897934781198,17.5260469221393,20.7568651170048,0.008909531354490241,0.1130797315578036,3.230818194865499,0.11343017869218741,2->3,AB,1,85.49498277082127,4.505017229178748,3.336072339193011,0.011782301196144745,1,AB,0.4537379074592511,0.30006219896222874,0
4584,7349,2,3,82.0823528009536,35.6285591717773,17.5216052575497,20.754083058383,-0.013229329836093484,0.14036864086450151,3.2324778008332977,0.14099067524506562,2->3,AB,2,95.38405428865475,5.384054288654738,3.336072339193011,0.017502692744981535,1,AB,0.46480797744209995,0.3108708349104014,0
