Superlattice vectors (celldm1_l units):
C -14.58000000000 23.85033951319 0.00000000000
C -15.79500000000 23.14885894200 0.00000000000
C -15.79500000000 25.95478123519 0.00000000000
C -17.01000000000 25.25330066400 0.00000000000
C -17.01000000000 28.05922295719 0.00000000000
C -18.22500000000 27.35774238600 0.00000000000
C -19.44000000000 29.46218410800 0.00000000000
C -2.43000000000 4.20888344400 0.00000000000
C -3.64500000000 6.31332516600 0.00000000000
C -3.64500000000 9.11924745919 0.00000000000
C -4.86000000000 8.41776688800 0.00000000000
C -4.86000000000 11.22368918119 0.00000000000
C -6.07500000000 10.52220861000 0.00000000000
C -6.07500000000 13.32813090319 0.00000000000
C -7.29000000000 12.62665033200 0.00000000000
C -7.29000000000 15.43257262519 0.00000000000
C -8.50500000000 14.73109205400 0.00000000000
C -8.50500000000 17.53701434719 0.00000000000
C -9.72000000000 16.83553377600 0.00000000000
C -9.72000000000 19.64145606919 0.00000000000
C -10.93500000000 18.93997549800 0.00000000000
C -10.93500000000 21.74589779119 0.00000000000
C -12.15000000000 21.04441722000 0.00000000000
C -12.15000000000 23.85033951319 0.00000000000
C -13.36500000000 23.14885894200 0.00000000000
C -13.36500000000 25.95478123519 0.00000000000
C -14.58000000000 25.25330066400 0.00000000000
C -15.79500000000 27.35774238600 0.00000000000
C -3.64500000000 10.52220861000 0.00000000000
C -3.64500000000 13.32813090319 0.00000000000
C -4.86000000000 12.62665033200 0.00000000000
C -4.86000000000 15.43257262519 0.00000000000
C -6.07500000000 14.73109205400 0.00000000000
C -6.07500000000 17.53701434719 0.00000000000
C -7.29000000000 16.83553377600 0.00000000000
C -7.29000000000 19.64145606919 0.00000000000
C -8.50500000000 18.93997549800 0.00000000000
C -8.50500000000 21.74589779119 0.00000000000
C -9.72000000000 21.04441722000 0.00000000000
C -9.72000000000 23.85033951319 0.00000000000
C -10.93500000000 23.14885894200 0.00000000000
C -12.15000000000 25.25330066400 0.00000000000
C -3.64500000000 14.73109205400 0.00000000000
C -3.64500000000 17.53701434719 0.00000000000
C -4.86000000000 16.83553377600 0.00000000000
C -4.86000000000 19.64145606919 0.00000000000
C -6.07500000000 18.93997549800 0.00000000000
C -6.07500000000 21.74589779119 0.00000000000
C -7.29000000000 21.04441722000 0.00000000000
C -7.29000000000 23.85033951319 0.00000000000
C -8.50500000000 23.14885894200 0.00000000000
C -3.64500000000 18.93997549800 0.00000000000
C -3.64500000000 21.74589779119 0.00000000000
C -4.86000000000 21.04441722000 0.00000000000
C -6.07500000000 23.14885894200 0.00000000000
Number of points in layer 1: 182
Layer 2 points (Angstrom):
C -20.50813186270 9.12695602805 3.00000000000
C -21.93675823537 11.09264335024 3.00000000000
C -15.23423076573 5.44996445008 3.00000000000
C -16.66285713839 7.41565177227 3.00000000000
C -18.09148351106 9.38133909446 3.00000000000
C -19.22637362156 8.55652127892 3.00000000000
C -19.52010988372 11.34702641665 3.00000000000
C -20.65499999422 10.52220860111 3.00000000000
C -20.94873625638 13.31271373884 3.00000000000
C -22.08362636689 12.48789592330 3.00000000000
C -22.37736262905 15.27840106104 3.00000000000
C -11.38895604142 3.73866019430 3.00000000000
C -12.81758241408 5.70434751649 3.00000000000
C -13.95247252458 4.87952970094 3.00000000000
C -14.24620878674 7.67003483868 3.00000000000
